State,1.1,1.2,1.3,1.4,1.5,1.6,2.1,2.2,2.3,2.4,2.5,3.1,3.2,3.3,3.4,3.5,3.6,4.1,4.2,4.3,4.4,4.5,5.1,5.2,5.3,5.4,5.5,1.1_n,1.2_n,1.3_n,1.4_n,1.5_n,1.6_n,2.1_n,2.2_n,2.3_n,2.4_n,2.5_n,3.1_n,3.2_n,3.3_n,3.4_n,3.5_n,3.6_n,4.1_n,4.2_n,4.3_n,4.4_n,4.5_n,5.1_n,5.2_n,5.3_n,5.4_n,5.5_n,Reproductive Rights,LGBTQ+ Protections,Voting Access,Labor Rights,Criminal Justice,Composite_EqualWeight,Composite_PCA,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Rank_EqualWeight,Rank_PCA
Maryland,100,100,100,100,100,0,42.25,100,100,100,100,3,100,100,100,67,100,62.93,15.0,100,100,100,100,67,50,100.0,0,100.0,100.0,100.0,100.0,100.0,0.0,94.53781512605042,100.0,100.0,100.0,100.0,78.57142857142857,100.0,100.0,100.0,67.0,100.0,69.77880972748382,76.953125,100.0,100.0,100.0,100.0,75.18796992481202,50.0,100.0,0.0,83.33333333333333,98.90756302521008,90.92857142857143,89.34638694549676,65.0375939849624,85.5106897435148,86.0549866920271,36.7,98461,87.2,46.8,30.0,11.5,0.468,2.9,1,D,6,7
Massachusetts,100,100,100,100,100,0,38.5,100,100,100,100,2,100,100,100,67,0,69.91,15.0,100,100,100,100,67,0,100.0,0,100.0,100.0,100.0,100.0,100.0,0.0,88.23529411764706,100.0,100.0,100.0,100.0,71.42857142857143,100.0,100.0,100.0,67.0,0.0,78.30868874495907,76.953125,100.0,100.0,100.0,100.0,75.18796992481202,0.0,100.0,0.0,83.33333333333333,97.64705882352942,73.07142857142857,91.05236274899181,55.037593984962406,80.02835549244911,80.78006473321783,37.0,96505,92.0,67.6,7.5,12.8,0.489,3.7,1,D,14,14
Michigan,100,100,0,100,100,0,26.0,100,100,100,50,5,100,100,33,67,100,47.53,13.73,0,100,100,100,67,0,100.0,0,100.0,100.0,0.0,100.0,100.0,0.0,67.22689075630252,100.0,100.0,100.0,50.0,92.85714285714286,100.0,100.0,33.0,67.0,100.0,50.95930587803984,67.03125000000001,0.0,100.0,100.0,100.0,75.18796992481202,0.0,100.0,0.0,66.66666666666667,83.4453781512605,82.14285714285715,63.59811117560797,55.037593984962406,70.17812142427094,70.5628700477855,50.9,68990,74.6,72.4,13.7,5.7,0.469,4.3,1,D,19,19
Minnesota,100,100,100,100,100,100,37.0,100,100,100,100,2,100,100,100,67,100,67.77,11.41,100,100,100,100,67,0,100.0,0,100.0,100.0,100.0,100.0,100.0,100.0,85.71428571428571,100.0,100.0,100.0,100.0,71.42857142857143,100.0,100.0,100.0,67.0,100.0,75.69351093730904,48.90625,100.0,100.0,100.0,100.0,75.18796992481202,0.0,100.0,0.0,100.0,97.14285714285714,89.73809523809524,84.9199521874618,55.037593984962406,85.36769971067534,86.18520682706031,47.1,84313,73.3,76.3,7.0,6.1,0.454,3.0,1,D,7,6
Mississippi,0,0,100,0,0,0,-7.0,0,0,0,0,-1,0,0,0,33,0,9.09,7.25,0,0,0,0,0,0,0.0,0,0.0,0.0,100.0,0.0,0.0,0.0,11.76470588235294,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,33.0,0.0,3.9838689967004766,16.406249999999996,0.0,0.0,0.0,0.0,24.81203007518797,0.0,0.0,0.0,16.666666666666668,2.352941176470588,13.833333333333334,4.0780237993400945,4.962406015037594,8.378674198169655,8.41578683471415,62.4,52985,49.4,54.3,37.7,3.6,0.49,3.7,0,R,50,50
Missouri,80,100,0,0,100,0,-1.5,50,0,0,50,-1,0,0,33,33,0,49.86,15.0,0,0,100,0,33,0,100.0,0,80.0,100.0,0.0,0.0,100.0,0.0,21.008403361344538,50.0,0.0,0.0,50.0,50.0,0.0,0.0,33.0,33.0,0.0,53.806672369546625,76.953125,0.0,0.0,100.0,0.0,49.62406015037594,0.0,100.0,0.0,46.666666666666664,24.201680672268907,19.333333333333332,46.15195947390932,29.92481203007519,33.255690435250685,33.37171753916742,60.0,65920,70.4,75.5,11.5,4.7,0.466,3.0,1,R,31,30
Montana,80,100,100,0,100,50,-1.5,0,0,50,0,-4,0,100,33,67,100,48.02,10.85,0,0,100,0,67,0,0.0,0,80.0,100.0,100.0,0.0,100.0,50.0,21.008403361344538,0.0,0.0,50.0,0.0,28.57142857142857,0.0,100.0,33.0,67.0,100.0,51.558108273249424,44.53125,0.0,0.0,100.0,0.0,75.18796992481202,0.0,0.0,0.0,71.66666666666667,14.201680672268907,54.76190476190476,39.21787165464988,15.037593984962404,38.977143548090524,39.388091950017966,59.6,66017,55.9,83.5,0.5,4.4,0.451,2.6,1,R,27,26
Nebraska,40,50,0,0,0,0,2.0,50,0,50,100,0,0,100,33,67,0,53.55,15.0,0,100,0,0,33,0,100.0,0,40.0,50.0,0.0,0.0,0.0,0.0,26.89075630252101,50.0,0.0,50.0,100.0,57.14285714285714,0.0,100.0,33.0,67.0,0.0,58.31602101918612,76.953125,0.0,100.0,0.0,0.0,49.62406015037594,0.0,100.0,0.0,15.0,45.378151260504204,42.857142857142854,47.053829203837225,29.92481203007519,36.042787070311896,36.16079077684892,59.0,74580,73.1,76.0,5.1,12.1,0.442,2.5,1,R,29,29
Nevada,80,100,100,100,100,50,41.5,100,100,100,100,3,100,100,100,67,100,60.33,12.0,0,100,0,0,67,0,100.0,0,80.0,100.0,100.0,100.0,100.0,50.0,93.27731092436974,100.0,100.0,100.0,100.0,78.57142857142857,100.0,100.0,100.0,67.0,100.0,66.60149089575951,53.515625,0.0,100.0,0.0,0.0,75.18796992481202,0.0,100.0,0.0,88.33333333333333,98.65546218487395,90.92857142857143,44.023423179151905,35.037593984962406,71.39567682217861,72.4017906389059,52.5,72330,94.2,45.8,10.3,29.2,0.461,5.3,1,D,18,18
New Hampshire,80,100,0,0,0,50,30.75,100,100,50,100,0,0,0,0,67,100,40.89,7.25,0,0,100,100,67,0,100.0,0,80.0,100.0,0.0,0.0,0.0,50.0,75.21008403361344,100.0,100.0,50.0,100.0,57.14285714285714,0.0,0.0,0.0,67.0,100.0,42.844922400097765,16.406249999999996,0.0,0.0,100.0,100.0,75.18796992481202,0.0,100.0,0.0,38.333333333333336,85.04201680672269,37.357142857142854,31.850234480019548,55.037593984962406,49.524064292436165,49.66692384724751,51.1,90845,60.3,87.2,1.7,4.4,0.441,2.5,1,R,22,22
New Jersey,100,100,100,100,100,100,41.75,100,100,100,100,0,100,100,100,67,0,72.03,15.92,100,100,100,100,67,100,0.0,50,100.0,100.0,100.0,100.0,100.0,100.0,93.69747899159664,100.0,100.0,100.0,100.0,57.14285714285714,100.0,100.0,100.0,67.0,0.0,80.89942563851889,84.140625,100.0,100.0,100.0,100.0,75.18796992481202,100.0,0.0,100.0,100.0,98.73949579831933,70.69047619047619,93.00801012770378,75.0375939849624,87.49511522029233,87.97857208364724,42.0,97126,94.7,51.9,13.4,21.6,0.496,4.6,1,D,3,3
New Mexico,100,100,100,100,0,100,33.0,100,100,100,50,1,100,100,100,67,100,58.35,12.0,0,100,100,100,67,100,0.0,0,100.0,100.0,100.0,100.0,0.0,100.0,78.99159663865547,100.0,100.0,100.0,50.0,64.28571428571429,100.0,100.0,100.0,67.0,100.0,64.18184040083099,53.515625,0.0,100.0,100.0,100.0,75.18796992481202,100.0,0.0,0.0,83.33333333333333,85.7983193277311,88.54761904761904,63.539493080166196,55.037593984962406,75.25127175476243,75.76340295137946,45.8,58722,77.4,35.4,2.0,49.3,0.477,4.0,1,D,16,16
New York,80,100,100,100,100,100,44.5,100,100,100,100,2,100,100,100,33,0,83.32,16.0,100,100,100,100,67,50,100.0,0,80.0,100.0,100.0,100.0,100.0,100.0,98.31932773109243,100.0,100.0,100.0,100.0,71.42857142857143,100.0,100.0,100.0,33.0,0.0,94.69632164242942,84.765625,100.0,100.0,100.0,100.0,75.18796992481202,50.0,100.0,0.0,96.66666666666667,99.66386554621849,67.40476190476191,95.89238932848589,65.0375939849624,84.93305548621906,85.616760935,38.4,75910,87.9,52.5,14.3,19.5,0.516,4.3,1,D,8,9
